Sentence #,Word,POS,Tag
1,A,DET,O
1,central,ADJ,B-hwp
1,processing,NOUN,I-hwp
1,unit,NOUN,I-hwp
1,(,PUNCT,O
1,CPU,PROPN,B-hwp
1,),PUNCT,O
1,",",PUNCT,O
1,also,ADV,O
1,called,VERB,O
1,a,DET,O
1,central,ADJ,B-hwp
1,processor,NOUN,I-hwp
1,",",PUNCT,O
1,main,ADJ,B-hwp
1,processor,NOUN,I-hwp
1,or,CCONJ,O
1,just,ADV,O
1,processor,NOUN,B-hwp
1,",",PUNCT,O
1,is,AUX,O
1,the,DET,O
1,electronic,ADJ,O
1,circuitry,NOUN,O
1,that,PRON,O
1,executes,VERB,B-func
1,instructions,NOUN,B-sw
1,comprising,VERB,O
1,a,DET,O
1,computer,NOUN,B-sw
1,program,NOUN,I-sw
1,.,PUNCT,O
2,The,DET,O
2,CPU,NOUN,B-hwp
2,performs,VERB,O
2,basic,ADJ,O
2,arithmetic,ADJ,B-func
2,",",PUNCT,O
2,logic,NOUN,B-func
2,",",PUNCT,O
2,controlling,VERB,B-func
2,",",PUNCT,O
2,and,CCONJ,O
2,input,NOUN,B-func
2,/,SYM,I-func
2,output,NOUN,I-func
2,operations,NOUN,I-func
2,specified,VERB,O
2,by,ADP,O
2,the,DET,O
2,instructions,NOUN,B-sw
2,in,ADP,O
2,the,DET,O
2,program,NOUN,B-sw
2,.,PUNCT,O
3,This,PRON,O
3,contrasts,VERB,O
3,with,ADP,O
3,external,ADJ,O
3,components,NOUN,O
3,such,ADJ,O
3,as,ADP,O
3,main,ADJ,B-hwp
3,memory,NOUN,I-hwp
3,and,CCONJ,O
3,I,NOUN,B-hwp
3,/,SYM,I-hwp
3,O,NOUN,I-hwp
3,circuitry,NOUN,I-hwp
3,",",PUNCT,O
3,and,CCONJ,O
3,specialized,ADJ,B-hwp
3,processors,NOUN,I-hwp
3,such,ADJ,O
3,as,ADP,O
3,graphics,NOUN,B-hwp
3,processing,NOUN,I-hwp
3,units,NOUN,I-hwp
3,(,PUNCT,O
3,GPUs,NOUN,B-hwp
3,),PUNCT,O
3,.,PUNCT,O
4,The,DET,O
4,form,NOUN,O
4,",",PUNCT,O
4,design,NOUN,O
4,",",PUNCT,O
4,and,CCONJ,O
4,implementation,NOUN,O
4,of,ADP,O
4,CPUs,NOUN,B-hwp
4,have,AUX,O
4,changed,VERB,O
4,over,ADP,O
4,time,NOUN,O
4,",",PUNCT,O
4,but,CCONJ,O
4,their,PRON,O
4,fundamental,ADJ,O
4,operation,NOUN,O
4,remains,VERB,O
4,almost,ADV,O
4,unchanged,ADJ,O
4,.,PUNCT,O
5,Principal,ADJ,O
5,components,NOUN,O
5,of,ADP,O
5,a,DET,O
5,CPU,NOUN,B-hwp
5,include,VERB,O
5,the,DET,O
5,arithmetic,ADJ,B-hwsp
5,–,PUNCT,I-hwsp
5,logic,NOUN,I-hwsp
5,unit,NOUN,I-hwsp
5,(,PUNCT,O
5,ALU,PROPN,I-hwsp
5,),PUNCT,O
5,that,PRON,O
5,performs,VERB,O
5,arithmetic,ADJ,B-func
5,and,CCONJ,O
5,logic,NOUN,B-func
5,operations,NOUN,I-func
5,",",PUNCT,O
5,processor,NOUN,O
5,registers,NOUN,O
5,that,PRON,O
5,supply,NOUN,O
5,operands,VERB,B-qt
5,to,ADP,O
5,the,DET,O
5,ALU,NOUN,B-hwsp
5,and,CCONJ,O
5,store,VERB,O
5,the,DET,O
5,results,NOUN,O
5,of,ADP,O
5,ALU,ADJ,B-func
5,operations,NOUN,I-func
5,",",PUNCT,O
5,and,CCONJ,O
5,a,DET,O
5,control,NOUN,B-hwsp
5,unit,NOUN,I-hwsp
5,that,PRON,O
5,orchestrates,VERB,O
5,the,DET,O
5,fetching,NOUN,B-func
5,(,PUNCT,O
5,from,ADP,O
5,memory,NOUN,B-hwp
5,),PUNCT,O
5,",",PUNCT,O
5,decoding,VERB,B-func
5,and,CCONJ,O
5,execution,NOUN,B-func
5,of,ADP,O
5,instructions,NOUN,B-sw
5,by,ADP,O
5,directing,VERB,O
5,the,DET,O
5,coordinated,VERB,O
5,operations,NOUN,O
5,of,ADP,O
5,the,DET,O
5,ALU,PROPN,B-hwsp
5,",",PUNCT,O
5,registers,NOUN,O
5,and,CCONJ,O
5,other,ADJ,O
5,components,NOUN,O
5,.,PUNCT,O
6,Most,ADJ,O
6,modern,ADJ,O
6,CPUs,NOUN,B-hwp
6,are,AUX,O
6,implemented,VERB,O
6,on,ADP,O
6,integrated,VERB,O
6,circuit,NOUN,O
6,(,PUNCT,O
6,IC,PROPN,O
6,),PUNCT,O
6,microprocessors,NOUN,B-hwp
6,",",PUNCT,O
6,with,ADP,O
6,one,NUM,O
6,or,CCONJ,O
6,more,ADJ,O
6,CPUs,NOUN,B-hwp
6,on,ADP,O
6,a,DET,O
6,single,ADJ,O
6,metal,NOUN,O
6,-,PUNCT,O
6,oxide,NOUN,O
6,-,PUNCT,O
6,semiconductor,NOUN,O
6,(,PUNCT,O
6,MOS,PROPN,O
6,),PUNCT,O
6,IC,PROPN,O
6,chip,NOUN,O
6,.,PUNCT,O
7,Microprocessor,NOUN,B-hwp
7,chips,NOUN,I-hwp
7,with,ADP,O
7,multiple,ADJ,O
7,CPUs,NOUN,B-hwp
7,are,AUX,O
7,multi,ADJ,B-hwp
7,-,ADJ,I-hwp
7,core,ADJ,I-hwp
7,processors,NOUN,I-hwp
7,.,PUNCT,O
8,The,DET,O
8,individual,ADJ,O
8,physical,ADJ,O
8,CPUs,NOUN,B-hwp
8,",",PUNCT,O
8,processor,NOUN,O
8,cores,NOUN,O
8,",",PUNCT,O
8,can,AUX,O
8,also,ADV,O
8,be,AUX,O
8,multithreaded,VERB,O
8,to,PART,O
8,create,VERB,O
8,additional,ADJ,O
8,CPUs,NOUN,B-hwp
8,.,PUNCT,O
8,An,DET,O
8,IC,PROPN,O
8,that,PRON,O
8,contains,VERB,O
8,a,DET,O
8,CPU,NOUN,B-hwp
8,may,AUX,O
8,also,ADV,O
8,contain,VERB,O
8,memory,NOUN,B-hwp
8,",",PUNCT,O
8,peripheral,ADJ,B-hwp
8,interfaces,NOUN,I-hwp
8,",",PUNCT,O
8,and,CCONJ,O
8,other,ADJ,O
8,components,NOUN,O
8,of,ADP,O
8,a,DET,O
8,computer,NOUN,B-sys
8,;,PUNCT,O
8,such,ADJ,O
8,integrated,ADJ,O
8,devices,NOUN,O
8,are,AUX,O
8,variously,ADV,O
8,called,VERB,O
8,microcontrollers,NOUN,B-comp
8,or,CCONJ,O
8,systems,NOUN,B-sys
8,on,ADP,I-sys
8,a,DET,I-sys
8,chip,NOUN,I-sys
8,(,PUNCT,O
8,SoC,PROPN,B-sys
8,),PUNCT,O
8,.,PUNCT,O
9,Array,NOUN,B-hwp
9,processors,NOUN,I-hwp
9,or,CCONJ,O
9,vector,NOUN,B-hwp
9,processors,NOUN,I-hwp
9,have,VERB,O
9,multiple,ADJ,B-hwp
9,processors,NOUN,I-hwp
9,that,PRON,O
9,operate,VERB,O
9,in,ADP,O
9,parallel,NOUN,O
9,",",PUNCT,O
9,with,ADP,O
9,no,DET,O
9,unit,NOUN,O
9,considered,VERB,O
9,central,ADJ,O
9,.,PUNCT,O
10,Virtual,ADJ,B-hwp
10,CPUs,NOUN,I-hwp
10,are,AUX,O
10,an,DET,O
10,abstraction,NOUN,O
10,of,ADP,O
10,dynamical,ADJ,O
10,aggregated,ADJ,O
10,computational,ADJ,O
10,resources,NOUN,O
10,.,PUNCT,O
11,Early,ADJ,B-sys
11,computers,NOUN,I-sys
11,such,ADJ,O
11,as,ADP,O
11,the,DET,O
11,ENIAC,PROPN,B-sys
11,had,VERB,O
11,to,PART,O
11,be,AUX,O
11,physically,ADV,O
11,rewired,VERB,O
11,to,PART,O
11,perform,VERB,O
11,different,ADJ,O
11,tasks,NOUN,O
11,",",PUNCT,O
11,which,PRON,O
11,caused,VERB,O
11,these,DET,O
11,machines,NOUN,O
11,to,PART,O
11,be,AUX,O
11,called,VERB,O
